,CollectionDate,WorkerID,SchoolName,LastUpdate,DailyNewCases,WeeklyNewCases,ActiveCases,CumulativeCases,DailyNewTests,WeeklyNewTests,TotalTests,Comments
0,2020-10-29,A320QA9HJFUOZO,American University,10/26/2020,0,0,,,,,,Only shows number of cases detected by week
1,2020-10-29,A320QA9HJFUOZO,Auburn University,10/25/2020,,17,17,,,,,limited data reporting
2,2020-10-29,A320QA9HJFUOZO,Augustana College,10/23/2020,,12,,,,,,limited data
3,2020-10-29,A320QA9HJFUOZO,Ball State University,10/28/2020,3,,46,350,0,,960,conflicting data (multiple sources)
4,2020-10-29,A320QA9HJFUOZO,Bard College,10/22/2020,,,0,,,,4814,limited data
5,2020-10-29,A320QA9HJFUOZO,Bates,10/26/2020,0,1,0,5,996,3382,36535,n/a
6,2020-10-29,A320QA9HJFUOZO,Baylor University,10/28/2020,5,36,63,1248,273,2609,52649,n/a
7,2020-10-29,A320QA9HJFUOZO,Binghamton University,10/28/2020,4,13,,193,629,3522,20674,
8,2020-10-29,A320QA9HJFUOZO,Boston College,10/28/2020,1,2,,236,,,74613,
9,2020-10-29,A320QA9HJFUOZO,Boston University,10/28/2020,3,39,,234,4227,31900,300019,total tests reported number is since July 27th
10,2020-10-29,A320QA9HJFUOZO,Brandeis University,10/25/2020,,2,,,,5916,57641,
11,2020-10-29,A320QA9HJFUOZO,Bowdoin College,10/28/2020,0,0,,4,,2543,25490,
12,2020-10-29,A320QA9HJFUOZO,Brown,10/28/2020,1,11,,41,370,10138,87567,
13,2020-10-29,A320QA9HJFUOZO,Bryn Mawr,10/28/2020,,1,1,7,,283,2816,
14,2020-10-29,A320QA9HJFUOZO,Bucknell,10/29/2020,0,0,10,29,954,1709,35853,
15,2020-10-29,A320QA9HJFUOZO,Butler,10/26/2020,3,,9,173,,,7805,
16,2020-10-29,A320QA9HJFUOZO,California Institute of Technology ,10/28/2020,,2,,29,,,1235,limited data reporting
17,2020-10-29,A320QA9HJFUOZO,Cal Poly,10/28/2020,10,,,251,132,,8345,
18,2020-10-29,A320QA9HJFUOZO,Carnegie Mellon,10/29/2020,,1,,34,,409,5686,
19,2020-10-29,A320QA9HJFUOZO,Case Western Reserve University,10/25/2020,,3,,62,,547,6102,
20,2020-10-29,A320QA9HJFUOZO,Central Michigan University,10/27/2020,6,19,24,378,,,,"limited / no testing data, mostly just cases"
21,2020-10-29,A320QA9HJFUOZO,Centre College,10/28/2020,1,,,27,6,41,5629,"daily testing #s varies wildly (6, 243, etc)"
22,2020-10-29,A320QA9HJFUOZO,Clemson,10/24/2020,17,151,,4725,1524,10395,,
23,2020-10-29,A320QA9HJFUOZO,Colgate,10/27/2020,0,0,1,51,,49,,
24,2020-10-29,A320QA9HJFUOZO,College of Charleston,10/29/2020,3,,4,440,281,,,data is not totally clear
25,2020-10-29,A320QA9HJFUOZO,College of William and Mary,10/25/2020,,,,58,,386,25929,limited data
26,2020-10-29,A320QA9HJFUOZO,College of Saint Benedict/ Saint John's University,10/28/2020,13,,,247,21,,,limited data
27,2020-10-29,A320QA9HJFUOZO,College of Wooster,10/26/2020,,14,,117,,515,4214,
28,2020-10-29,A320QA9HJFUOZO,Colorado School of Mines,10/27/2020,1,11,9,89,,1400,12847,
0,2020-10-29,A681XM15AN28F,American University,10/19/2020,0,0,,26,26,,26,
1,2020-10-29,A681XM15AN28F,Auburn University,10/25/2020,17,11,1984,1984,379,798,3095,
2,2020-10-29,A681XM15AN28F,Augustana College,10/20/2020,3,12,30,30,,11,,
3,2020-10-29,A681XM15AN28F,Ball State University,10/28/2020,0,0,46,46,0,,1292,
4,2020-10-29,A681XM15AN28F,Bard College,10/22/2020,,,,,,,4814,
5,2020-10-29,A681XM15AN28F,Bates,10/29/2020,1,,384,384,937,3961,37472,
6,2020-10-29,A681XM15AN28F,Baylor University,10/29/2020,,,63,1249,,1189,52810,
7,2020-10-29,A681XM15AN28F,Binghamton University,10/28/2020,,144,3213,,629,18,289386,
8,2020-10-29,A681XM15AN28F,Boston College,10/29/2020,235,,,,70277,,74613,
9,2020-10-29,A681XM15AN28F,Boston University,10/28/2020,,,,,5632,25206,,
10,2020-10-29,A681XM15AN28F,Brandeis University,10/25/2020,1,,,,,,,
11,2020-10-29,A681XM15AN28F,Bowdoin College,10/29/2020,0,0,,25490,,,,
12,2020-10-29,A681XM15AN28F,Brown,10/25/2020,4,13,11,,,10138,87567,
13,2020-10-29,A681XM15AN28F,Bryn Mawr,,2,,8,2816,0,0,,
14,2020-10-29,A681XM15AN28F,Bucknell,10/29/2020,,,10,29,,1709,35853,
15,2020-10-29,A681XM15AN28F,Butler,10/26/2020,3,,9,173,,,7805,
16,2020-10-29,A681XM15AN28F,California Institute of Technology ,10/28/2020,,29,1611,304872,,,1235,
17,2020-10-29,A681XM15AN28F,Cal Poly,10/29/2020,,,,,9723,,,
18,2020-10-29,A681XM15AN28F,Carnegie Mellon,10/29/2020,,33,34,,,409,,
19,2020-10-29,A681XM15AN28F,Case Western Reserve University,10/25/2020,,62,281,62,,,,
20,2020-10-29,A681XM15AN28F,Central Michigan University,10/29/2020,6,,19,378,,,,
21,2020-10-29,A681XM15AN28F,Centre College,,0,,27,5629,1,,,
22,2020-10-29,A681XM15AN28F,Clemson,10/30/2020,,151,,4725,,,4725,
23,2020-10-29,A681XM15AN28F,Colgate,10/29/2020,,,51,,,,,
24,2020-10-29,A681XM15AN28F,College of Charleston,10/29/2020,9,,4,440,,,804,
25,2020-10-29,A681XM15AN28F,College of William and Mary,10/28/2020,,,,,386,,8581,
26,2020-10-29,A681XM15AN28F,College of Saint Benedict/ Saint John's University,10/30/2020,13,,,,13,,247,
27,2020-10-29,A681XM15AN28F,College of Wooster,10/26/2020,,,14,4214,,515,,
28,2020-10-29,A681XM15AN28F,Colorado School of Mines,10/27/2020,1,,9,,,2918,12847,
0,2020-10-30,A3PYB8Z6FFWSOV,American University,10/26/2020,,0,,26,,,,
1,2020-10-30,A3PYB8Z6FFWSOV,Auburn University,,,17,,,,379,,
2,2020-10-30,A3PYB8Z6FFWSOV,Augustana College,,,12,,,,,,
3,2020-10-30,A3PYB8Z6FFWSOV,Ball State University,10/28/2020,0,,44,1129,13,,,
4,2020-10-30,A3PYB8Z6FFWSOV,Bard College,10/29/2020,,,0,,,5255,,
5,2020-10-30,A3PYB8Z6FFWSOV,Bates,10/29/2020,0,,1,5,937,3961,37472,
6,2020-10-30,A3PYB8Z6FFWSOV,Baylor University,,,29,63,1249,,1891,52810,
7,2020-10-30,A3PYB8Z6FFWSOV,Binghamton University,10/29/2020,4,13,,1435,512,44974,310415,
8,2020-10-30,A3PYB8Z6FFWSOV,Boston College,10/29/2020,,,,76384,,,240,
9,2020-10-30,A3PYB8Z6FFWSOV,Boston University,10/28/2020,5,,,234,5632,31900,300019,
10,2020-10-30,A3PYB8Z6FFWSOV,Brandeis University,10/29/2020,,1,,,,3600,58197,
